Número	Foto	A levar	Check-in	Nome	Descrição	Objetivo	Como Funciona?	Conceitos Chave	QR-code IG	Link IG	QR-code Fotos	Link Fotos	QR-code Youtube	Link Youtube	Situação	Observação	Tipo	Setor	Percurso	Acessórios	Eventos C	Eventos	Dimensões (L x C x A)	Peso (Kg)	Valor Aproximado  (R$)	Local
P011		FALSE	TRUE	Cônicas em Fios - Elipse, Circunferência e Ponto	Peça de madeira MDF em fórmica pintada em marfim com fios de silicone formando uma superfície cônica limitada	Observar a elipse/circunferência/ponto como interseção de planos com a superfície cônica limitada	Ao posicionar o cone sobre o plano de fios, forma-se uma curva na região de interseção, visível ao olho nu	Cone, plano, seção cônica, elipse, circunferência, ponto		https://drive.google.com/file/d/15qpYLO8M_YTgUKYaQ8PMrjp5cD7BHpzZ/view?usp=sharing		https://photos.app.goo.gl/7MRjB7AyDzDDoNkz7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tC-H5deISDqiNsUg0bV-YBo	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A021	EM01	EM01	35 cm x 60 cm x 65 cm	4,20000	R$ 100,00	LDM
P012		FALSE	TRUE	Cônicas em Fios - Parábola e Reta	Peça de madeira MDF em fórmica pintada em marfim com fios de silicone formando uma superfície cônica limitada	Observar a parábola/reta como interseção de planos com a superfície cônica limitada	Ao posicionar o cone sobre o plano de fios, forma-se uma curva na região de interseção, visível ao olho nu	Cone, plano, seção cônica, parábola, reta		https://drive.google.com/file/d/12wRSMVzgGT_m5q1aM82d8LUbl5hZt8Rj/view?usp=sharing		https://photos.app.goo.gl/KCuoeG5aBXwu7aTT7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgOYJ5_nTX7teax4ym49fN	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	xxxx	EM01	EM01	35 cm x 60 cm x 65 cm	3,90000	R$100,00	LDM
P013		FALSE	TRUE	Cônicas Jardineiras - Elipse	Peça de madeira MDF em formato de jardineira com pinos laterais e conjunto de furos que permitem a fixação de um cordão representando a soma das distâncias aos focos	Visualizar e construir uma elipse e sua variação em circunferência como caso especial, conforme a posição dos focos	O visitante prende um fio em dois pinos (focos) e com a caneta ou marcador, mantém o fio sempre esticado enquanto contorna o interior da jardineira. O traçado resultante é uma elipse. Quando os dois pinos são colocados coincidentes no centro, a curva gerada é uma circunferência	Lugar geométrico, elipse, circunferência, focos, excentricidade, tangência		https://drive.google.com/file/d/1buDm0-yVNMF8rPHNsF7p19ZlPGC3rP95/view?usp=sharing		https://photos.app.goo.gl/gyixuD4PND4vKQR58		https://www.youtube.com/playlist?list=PLHiOaPPoa2tALRLIb5Is8-xx8L1zeWEpq	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A013;A014	E001;E002;E007	E001;E002;E007	50 cm x 60 cm x 6 cm	4,80000	R$ 300,00	LDM
P014		FALSE	TRUE	Cônicas Jardineiras - Parábola	Peça de MDF com base plana e régua móvel que simula dobras do papel. Um ponto fixo representa o foco e uma barra de alumínio fixa representa a diretriz	Construir fisicamente a parábola a partir de sua definição: conjunto de pontos equidistantes do foco e da diretriz	O visitante movimenta o fio, prendendo uma ponta ao foco e a outra em contato com a régua, mantendo o fio esticado. O vinco simulado representa uma tangente à parábola. Repetindo o processo, forma-se o envelope parabólico	Lugar geométrico, parábola, foco, diretriz, tangente, simetria		https://drive.google.com/file/d/1EruGVGgT_8GV0VSuXDDTzUtSLdAt_9oE/view?usp=sharing		https://photos.app.goo.gl/iXWQ1HKwzFDpjdzE6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAEsJzLzroAxl_ZbZ_XIGQU	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A013;A014	E001;E002;E007	E001;E002;E007	50 cm x 60 cm x 6 cm	4,00000	R$300,00	LDM
P015		FALSE	TRUE	Cônicas Jardineiras - Hipérbole	Peça de MDF com base retangular, barra de alumínio móvel e pinos que permitem fixar fio de modo que a diferença das distâncias aos focos seja constante	Construir fisicamente uma hipérbole a partir da definição geométrica com diferença de distâncias constantes entre dois focos	O fio é preso em um ponto da barra (que representa o primeiro foco) e outro em um pino (segundo foco). A caneta ou marcador mantém o fio esticado enquanto contorna a peça. A curva obtida é um ramo de hipérbole	Lugar geométrico, hipérbole, focos, diferença de distâncias, assimptotas		https://drive.google.com/file/d/1-SAstv6Buf_5srWCU7xvPm1rvzGaGnD3/view?usp=sharing		https://photos.app.goo.gl/Lcc8WWYmpeMPk6zh6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDc75CUrntiCBH3F8zzZj3T	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A013;A014	E001;E002;E007	E001;E002;E007	50 cm x 60 cm x 6 cm	4,00000	R$ 300,00	LDM
P016		FALSE	TRUE	Espelhos Parabólicos	Peça de madeira MDF com acabamento tipo marfim visor interno de acrílico e dois espelhos parabólicos com proteção externa de vidro	Observar a propriedade reflexiva da parábola no paraboloide de revolução	A caixa de madeira contêm dois espelhos parabólicos P1 e P2. Um objeto é colocado no foco F2 do paraboloide superior P2 e o foco F1 do paraboloide inferior está localizada na região de visualização da imagem. Ao entrar a luz pela parte vazada da peça, esta ilumina toda a P1, inclusive o foco F2 de P2. Os raios refletidos por P1 que iluminam o objeto, incidem para P2 e são refletidos por P2 paralelamente. Esses raios ao atingirem P1 refletem o objeto no foco de P1 que se encontra na parte vazada da peça, dando uma ilusão de ótica que ele está neste local	Parábola, foco, reflexo, geometria óptica, superfície de revolução, formação de imagem, ilusão		https://drive.google.com/file/d/1lag7hvgHILI_iBsw53AaoyJwbwdM98F0/view?usp=sharing		https://photos.app.goo.gl/XkNswgfvNxoEnYyR8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tB5PFKp1ypPiwzl05eJ0kyT	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A045;A033;A040	E000;E001;E002;E007;EM01	E000;E001;E002;E007;EM01	36 cm x 39 cm x 16 cm	3,70000	R$300,00	MUDI
P017		FALSE	TRUE	Espelhos Ustores	Peça de metal com suporte para dois refletores parabólicos, para uma lâmpada de alta potência e para um palito de fósforo e dois refletores parabólicos	Observar a propriedade reflexiva da parábola no parabolóide de revolução	Quando ligamos a lâmpada, a luz incide sobre o espelho em que a lâmpada está fixa e este faz com que esses raios sejam refletidos paralelamente para o outro espelho, pela propriedade reflexiva da parábola. Assim, esses raios paralelos direcionam-se para o foco deste outro espelho, acendendo o palito fósforo	Reflexão parabólica, foco, luz, energia, temperatura, cônicas, ilusão visual, óptica geométrica		https://drive.google.com/file/d/1002P9XyL5iR-rtQVOWNb6Xliw8hhy3d6/view?usp=sharing		https://photos.app.goo.gl/goxUBTTjy57JY8ox5		https://www.youtube.com/playlist?list=PLHiOaPPoa2tA_8Xo0VnrhNHz-t4nOOhKl	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A017;A023;A038	E001;E002;E007;EM01	E001;E002;E007;EM01	82 cm x 180 cm x 95 cm	5,00000	R$ 300,00	LDM
P018		FALSE	TRUE	Antena Parabólica (Forno Solar)	Peça de metal construída a partir de uma antena parabólica	Observar como uma superfície parabólica concentra raios paralelos em seu foco, convertendo energia luminosa em calor, mostrando a propriedade reflexiva da parábola	Os raios solares atingem a antena parabólica e refletem em direção ao foco. O calor concentrado é capaz de escurecer, carbonizar ou acender materiais combustíveis como madeira ou papel	Parábola, foco, reflexão, energia solar, concentração térmica, óptica geométrica		https://drive.google.com/file/d/1Egy-m28Ak4F69oGf0i-aCeCoCpeLfqFf/view?usp=sharing		https://photos.app.goo.gl/9Ln1FSw3Xh62eF4A7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tChE9YeKFY1iJXUP4k7UT3g	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A025	EM01	EM01	60 cm x 70 cm x 110 cm	6,60000	R$100,00	LDM
P019		FALSE	TRUE	Mini Golfe Parabólico	Peça de madeira encapada em corvin preto	Demonstrar, de forma lúdica e interativa, a propriedade reflexiva da parábola: todo raio (ou trajetória) que chega paralelo ao eixo de simetria reflete em direção ao foco	A bolinha é lançada paralela às laterais (paralelas ao eixo da parábola). Ao colidir com a borda parabólica, sua trajetória é refletida e converge para o foco, onde está o buraco. Assim, mesmo tentando "errar", o jogador acaba acertando	Parábola, foco, reflexão, cônicas, jogo matemático		https://drive.google.com/file/d/1zZyYoaYqfo2mfvWJjdQjhnihaXYclRWR/view?usp=sharing		https://photos.app.goo.gl/1LD9Zp2xvkK88kjK6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tB3qPiqQNtdEp8apC62clVo	3	Há um corte em mdf que refaz a curva  base parabólica.	Peça	Geometria das Curvas e Superfícies	Cônicas	A026;A027	E001;E002;E007	E001;E002;E007	90 cm x 280 cm x 10 cm	47,70000	R$ 500,00	LDM
P020		FALSE	TRUE	Bilhar Elíptico	Mesa de madeira com acabamento tipo marfim e feltro interno verde no formato de elipse com marca de lançamento em um foco e caçapa no foco oposto	Demonstrar a propriedade reflexiva da elipse: trajetórias iniciadas em um foco e refletidas na borda atingirăo o foco oposto	A bola lançada a partir de um foco rebate na borda elíptica obedecendo à lei da reflexão; por definição geométrica, esses rebotes redirecionam a bola ao outro foco	Elipse, focos, reflexão, leis da reflexão, trajetórias, billares matemáticos, acústica		https://drive.google.com/file/d/1EKheAmkualim-Qfh_Oub-4-b8mdoMO2I/view?usp=sharing		https://photos.app.goo.gl/ri8mYvneAtWjYPss7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tC9XIBW9nCo-MD8E1mLaJUc	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A027;A028	E001;E002;E007;EM01	E001;E002;E007;EM01	90 cm x 110 cm x 85 cm	26,00000	R$600,00	LDM
P021		FALSE	TRUE	Cônicas Laser - Elipse	Peça de madeira MDF revestida em fórmica branca, no formato de uma elipse com lateral interna espelhada	Verificar a propriedade reflexiva da elipse	Ao posicionar a caneta laser sobre um dos focos da elipse, o feixe incide na borda espelhada e reflete em direção ao segundo foco. Essa trajetória obedece à lei da reflexão (ângulo de incidência igual ao ângulo de reflexão)	Elipse, foco, reflexão, seções cônicas, óptica geométrica, propriedade reflexiva		https://drive.google.com/file/d/1Ul848nlwlV9vWaz_VqCyrT27aIcAfXSt/view?usp=sharing		https://photos.app.goo.gl/uvB3sBMaLVtB7dpSA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAVryh3TTokKguP8-OTUr3K	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A018;A022;A033;A040	E000	E000	50 cm x 60 cm x 8 cm	5,40000	R$ 200,00	LDM
P022		FALSE	TRUE	Cônicas Laser - Parábola	Peça em MDF revestida com fórmica branca, com a borda interna usinada/espelhada no perfil parabólico. Dois pontos de referência estão marcados (eixo e foco)	Verificar experimentalmente a propriedade reflexiva da parábola e relacionar geometria a aplicações em óptica	Ao incidir um feixe de luz (caneta laser) ao longo de direções aproximadamente paralelas ao eixo da parábola, a luz reflete na superfície espelhada e converge para o ponto focal marcado na peça. Inversamente, colocando o laser no foco, a luz refletida sai em feixe paralelo ao eixo	Parábola, foco, eixo, reflexão (ângulo de incidência = ângulo de reflexão), óptica geométrica, aplicações parabólicas		https://drive.google.com/file/d/1laBRBgT4iQOY-wnNXzZMaTfQHhpoHWye/view?usp=sharing		https://photos.app.goo.gl/92sXYnnxxvwxnJYy8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tADQDrZGP8YvXtJRJFUHFFu	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A018;A022;A033;A040	E000	E000	50 cm x 60 cm x 8 cm	4,60000	R$200,00	LDM
P023		FALSE	TRUE	Cônicas Laser – Hipérbole	Peça em MDF revestida com fórmica branca, contendo lateral espelhada com perfil hiperbólico. Acompanha caneta laser para demonstração óptica das propriedades reflexivas da curva	Verificar experimentalmente a propriedade reflexiva da hipérbole e relacionar suas características geométricas às aplicações práticas em óptica e engenharia	Com a caneta laser apontando o feixe para o ponto focal indicado em uma das aberturas da hipérbole, observe o feixe refletido: ele se afasta da curva de modo que sua continuação imaginária passaria pelo segundo foco. Mova o feixe alterando o ângulo e veja como a reflexão muda, mas mantém o padrão de afastamento simétrico	Hipérbole, focos, reflexão, seções cônicas, leis da óptica, geometria analítica, aplicações ópticas		https://drive.google.com/file/d/14dg55vUWPZb43nONU6_5HaffI10N-DkF/view?usp=sharing		https://photos.app.goo.gl/i1RVmGHZrWtqupkU9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCja85mBAdsygObGMbjW3hb	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A018;A022	xxxx	xxxx	50 cm x 60 cm x 8 cm	4,30000	R$ 200,00	LDM
P024		FALSE	TRUE	Paraboloide Hiperbólico em Fios	Estrutura de metal pintada em branco e fios elásticos sobre base de madeira MDF.	Ilustrar como superfícies não planas podem ser geradas exclusivamente por retas.	Fios esticados representam retas que, no conjunto, produzem uma superfície regrada.	Superfície regrada, paraboloide hiperbólico, geometria espacial, visualização 3D.		https://drive.google.com/file/d/1vAM87d5rqUEyCfS8JdyCs7M2Dc7J5Uy0/view?usp=sharing		https://photos.app.goo.gl/pF4CCLHaFKWXPipu9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBxVMJ2eX7y_aowbQ3vpF5p	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A083	E001;E002;E007	E001;E002;E007	37 cm x 37 cm x 44 cm	4,40000	R$300,00	LDM
P025		FALSE	TRUE	Paraboloide Hiperbólico em Placas	Peça formada por placas de madeira entrelaçadas, pintada em dois tons de verde	Observar como as retas podem gerar superfícies regradas	A peça representa uma superfície regrada, ou parte de uma superfície regrada, visto que a superfície seria infinita. Temos uma superfície não plana, denominada Paraboloide Hiperbólico ou Sela de Cavalo, formada por placas de MDF. Note que apesar de todas as placas representarem retas, conseguimos visualizar uma superfície não plana formada por estas retas, é claro que aqui o número de retas (placas) é limitado, mas teoricamente o que temos são infinitas retas formando a superfície	Superfícies regradas, Paraboloide hiperbólico, Geometria tridimensional, Curvatura em superfícies, Visualização espacial		https://drive.google.com/file/d/10Gtkn94cz6QsfBg4LW19ptToJl1x6Zsi/view?usp=sharing		https://photos.app.goo.gl/nLHpcyPnN69mzrDf6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tD9GNndULkCK5XWEYumMFuI	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A083	E001;E002;E007;EM01	E001;E002;E007;EM01	40 cm x 40 cm x 40 cm	6,80000	R$ 300,00	MUDI
P026		FALSE	TRUE	Paraboloide Hiperbólico em Fios Móvel	Peça de madeira com fios de silicone e base móvel acionada por puxador.	Observar de forma dinâmica como as retas podem gerar superfícies regradas.	Ao girar o puxador, a base move-se e os fios formam a superfície hiperbólica.	Paraboloide hiperbólico, superfície regrada, movimento, geometria no espaço.		https://drive.google.com/file/d/1YpS-8BEd5XEYoyOUX-4MDL_EMNqVnzF3/view?usp=sharing		https://photos.app.goo.gl/x9ZSxmUgZsn1rFPc8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDws1B0hvtKFT3qTfwjWHQb	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A083	xxxx	xxxx	45 cm x 65 cm x 65 cm	7,20000	R$300,00	LDM
P027		FALSE	TRUE	Paraboloide Hiperbólico Montável	Peça formada por cabos de madeira e velcro montados sobre base plana.	Permitir ao visitante construir manualmente uma superfície regrada.	Montagem com cabos retilíneos fixados nos pontos marcados, revelando o paraboloide hiperbólico.	Paraboloide hiperbólico, superfície regrada, construção manual, geometria espacial.		https://drive.google.com/file/d/11nIUGLXD1gzod7fkY1YSz-ywyBfauKzX/view?usp=sharing		https://photos.app.goo.gl/MtZXjZgAUBut85v38		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCDMsse37ChjbLkZjKGf1u0	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A083	xxxx	xxxx	50 cm x 50 cm x 12 cm	10,20000	R$ 300,00	LDM
P028		FALSE	TRUE	Hiperboloide - Vareta Rotatória	Peça de madeira com acabamento tipo marfim e acrílico vazado. Uma vareta, guiada por uma plataforma circular motorizada, gira ao redor do eixo, gerando visualmente um hiperboloide de revolução.	Observar como uma reta em movimento gera uma superfície curva, evidenciando o conceito de superfície regrada.	A vareta rotatória descreve o movimento de uma reta reversa ao eixo de rotação. A fenda no acrílico representa uma seção da superfície gerada.	Hiperboloide, superfície regrada, rotação, seção cônica, geometria espacial, ilusão visual.		https://drive.google.com/file/d/1203XeM1hETVrcIh1FxDDmSNPWWLrSHbJ/view?usp=sharing		https://photos.app.goo.gl/Dy829SPUzddxRR546		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBAgTJcxvqruHHNLQejOie6	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A017;A033;A040;A083	E000;E001;E002;E007	E000;E001;E002;E007	50 cm x 50 cm x 75 cm	8,70000	R$500,00	LDM
P029		FALSE	TRUE	Hiperboloide em Fios	Peça de madeira com acabamento tipo marfim, pilares de acrílico e fios de silicone presos entre duas bases circulares, uma fixa e outra giratória.	Observar de forma dinâmica como retas podem gerar superfícies regradas e identificar os diferentes tipos de superfícies formadas pelo movimento.	O visitante gira a base superior, alterando a posição dos fios e revelando as superfícies cilíndrica, cônica e hiperboloide de revolução.	Hiperboloide, superfície regrada, reta geratriz, rotação, geometria espacial, curvatura aparente, ilusão visual.		https://drive.google.com/file/d/11oULbghaRLrnmxV_KVQA_5ADMtEoPFTN/view?usp=sharing		https://photos.app.goo.gl/8tSny1Rk7pYh9ciM8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCjLzTSBg-ghTe-fETNrX69	5	xxxx	Peça	Geometria das Curvas e Superfícies	Superfícies Regradas	A033;A040;A083	E000;E001;E002;E007;EM01	E000;E001;E002;E007;EM01	42 cm x 42 cm x 61 cm	8,30000	R$ 300,00	LDM
